類別	名稱	地址	縣市	鄉鎮	經度	緯度
家樂福超市	新店安康店	231 新北市新店區安康路二段196號B1	新北市	新店區	121.509104	24.958986
家樂福超市	新店安祥店	231 新北市新店區安祥路85-89號	新北市	新店區	121.487686	24.959818
家樂福超市	新店新坡一店	231 新北市新店區新坡一街75號B1	新北市	新店區	121.549655	24.963943
家樂福超市	新店溪園店	231 新北市新店區溪園路399號	新北市	新店區	121.523948	24.977786
家樂福超市	新莊中平店	248 新北市新莊區中平路377巷18、20號	新北市	新莊區	121.443748	25.052005
家樂福超市	新莊中信店	248 新北市新莊區中信街72號	新北市	新莊區	121.448388	25.051966
家樂福超市	新莊公園一店	248 新北市新莊區公園一路110號	新北市	新莊區	121.44395	25.037592
家樂福超市	新莊公園店	248 新北市新莊區公園路226號	新北市	新莊區	121.456777	25.040494
家樂福超市	新莊化成店	248 新北市新莊區化成路193號	新北市	新莊區	121.465686	25.050378
家樂福超市	新莊民安店	248 新北市新莊區民安路157號之1	新北市	新莊區	121.42548	25.023643
家樂福超市	新莊昌隆店	248 新北市新莊區昌隆街69、75、83號	新北市	新莊區	121.457225	25.051318
家樂福超市	新莊後港一店	248 新北市新莊區後港一路122-126號	新北市	新莊區	121.428946	25.027163
家樂福超市	新莊富國店	248 新北市新莊區富國路2號B1	新北市	新莊區	121.417987	25.02647
家樂福超市	新莊龍安店	248 新北市新莊區龍安路75號	新北市	新莊區	121.415611	25.021653
家樂福超市	新豐建興店	304 新竹縣新豐鄉建興路一段116-2號	新竹縣	新豐鄉	120.994975	24.872737
家樂福超市	楊梅中興店	326 桃園市楊梅區中興路67號1樓	桃園市	楊梅區	121.184539	24.917975
家樂福超市	嘉義仁愛店	600 嘉義市西區仁愛路211、213號	嘉義市	西區	120.442619	23.470677
家樂福超市	嘉義新榮店	600 嘉義市西區新榮路152號1樓	嘉義市	西區	120.444378	23.477394
家樂福超市	嘉義德明店	600 嘉義市西區德明路128-132號	嘉義市	西區	120.431904	23.483143
家樂福超市	樹林太順店	238 新北市樹林區太順路64號、66號、68號	新北市	樹林區	121.417558	24.979283
家樂福超市	樹林復興店	238 新北市樹林區復興路198號	新北市	樹林區	121.419796	24.990956
家樂福超市	樹林學成店	238 新北市樹林區學成路536號	新北市	樹林區	121.380602	24.945356
家樂福超市	頭份中華店	351 苗栗縣頭份市中華路1155號	苗栗縣	頭份市	120.9109	24.688008
家樂福超市	龍井藝術店	434 台中市龍井區藝術街22號	台中市	龍井區	120.594742	24.187666
家樂福超市	關西中興店	306 新竹縣關西鎮中興路19號	新竹縣	關西鎮	121.176842	24.792705
家樂福超市	蘆竹六福店	338 桃園市蘆竹區六福路189號	桃園市	蘆竹區	121.297964	25.060653
家樂福超市	蘆竹吉林店	338 桃園市蘆竹區吉林路169、171號	桃園市	蘆竹區	121.301099	25.049793
家樂福超市	蘆竹奉化店	338 桃園市蘆竹區奉化路248號	桃園市	蘆竹區	121.291629	25.037503
家樂福超市	蘆竹福祿一店	338 桃園市蘆竹區福祿一街189-193號	桃園市	蘆竹區	121.296304	25.057142
家樂福超市	蘆洲三民店	247 新北市蘆洲區三民路54號	新北市	蘆洲區	121.475411	25.083639
家樂福超市	蘆洲中興店	247 新北市蘆洲區中興街34、36號	新北市	蘆洲區	121.481179	25.087023
家樂福超市	蘆洲長安二店	247 新北市蘆洲區長安街387號1樓	新北市	蘆洲區	121.457179	25.088211
家樂福超市	蘆洲長榮店	247 新北市蘆洲區長榮路386號	新北市	蘆洲區	121.460116	25.087819
家樂福超市	台北敦化北店	105 台北市松山區敦化北路199巷5號	台北市	松山區	121.55113	25.057122
家樂福超市	南港舊莊店	115 台北市南港區舊莊街一段196號	台北市	南港區	121.622105	25.03854
家樂福超市	七堵崇信店	206 基隆市七堵區崇信街16號	基隆市	七堵區	121.712713	25.098983
家樂福超市	三重中正北店	241 新北市三重區中正北路67號、69號	新北市	三重區	121.490416	25.06324
家樂福超市	三重五華店	241 新北市三重區五華街110巷1-4號	新北市	三重區	121.492035	25.083056
家樂福超市	三重仁愛二店	241 新北市三重區仁愛街81號	新北市	三重區	121.496089	25.073129
家樂福超市	三重仁愛店	241 新北市三重區仁愛街285號及293號	新北市	三重區	121.492746	25.078936
家樂福超市	三重永福店	241 新北市三重區永福街245、247、249號	新北市	三重區	121.480958	25.074304
家樂福超市	三重重陽店	241 新北市三重區重陽路一段41號	新北市	三重區	121.48683	25.057874
家樂福超市	三重溪尾店	241 新北市三重區溪尾街125號1樓	新北市	三重區	121.489526	25.079211
家樂福超市	三峽中山店	237 新北市三峽區中山路171號	新北市	三峽區	121.364276	24.936457
家樂福超市	三峽光明店	237 新北市三峽區光明路71號	新北市	三峽區	121.376125	24.928314
家樂福超市	土城立德店	236 新北市土城區立德路105號	新北市	土城區	121.463859	24.987553
家樂福超市	土城金城店	236 新北市土城區金城路三段202-6號	新北市	土城區	121.469544	24.988294
家樂福超市	土城學府店	236 新北市土城區學府路一段157,161號	新北市	土城區	121.453168	24.985812
家樂福超市	士林社中店	111 台北市士林區社中街222號1樓	台北市	士林區	121.508256	25.091336
家樂福超市	士林雨聲店	111 台北市士林區雨聲街52號、52-1號、52巷1號	台北市	士林區	121.528783	25.102891
家樂福超市	士林格致店	111 台北市士林區格致路7號	台北市	士林區	121.546171	25.136342
