類別	名稱	地址
OKmart	OK鶯歌永和店	新北市鶯歌區永和街126、128號1樓
OKmart	OK鶯歌大湖店	新北市鶯歌區大湖路466號
OKmart	OK鶯歌永昌店	新北市鶯歌區鶯桃路97之3號1樓
OKmart	OK鶯歌福安店	新北市鶯歌區鶯桃路388號
OKmart	OK鶯歌新興店	新北市鶯歌區國際一路74.76號
OKmart	OK鶯歌中湖店	新北市鶯歌區大湖路26號、28號1樓
OKmart	OK三芝三民店	新北市三芝區三民街27巷2、4號1樓
OKmart	OK三芝長勤店	新北市三芝區中山路一段153號
OKmart	OK凌陽創新門市	新竹縣寶山鄉創新一路19號6樓
OKmart	OK新竹忠孝店	新竹市東區忠孝路213號
OKmart	OK新竹女中門市	新竹市東區中華路２段270號1樓
OKmart	OK新竹東復店	新竹市東區關東路57、59、61、63號1樓
OKmart	OK新竹藝術店	新竹市東區藝術路8號1樓
OKmart	OK新竹巨城店	新竹市東區民生路197、199號1樓
OKmart	OK新竹高中門市	新竹市東區學府路36號
OKmart	OK新竹富禮店	新竹市香山區富禮街1號1樓
OKmart	OK新竹內湖店	新竹市香山區內湖路103號/105號1樓
OKmart	OK關西成功店	新竹縣關西鎮中山東路31、33號1樓
OKmart	OK關西高中門市	新竹縣關西鎮中山東路2號
OKmart	OK北埔南興店	新竹縣北埔鄉南興街122號
OKmart	OK北埔埔心店	新竹縣北埔鄉埔心街74號
OKmart	OK新埔遠東店	新竹縣新埔鎮文山路亞東段605、607號1樓
OKmart	OK新埔埔興店	新竹縣新埔鎮新關路五埔段78號1樓
OKmart	OK新埔楊新店	新竹縣新埔鎮楊新路１段881號1樓
OKmart	OK新埔田新店	新竹縣新埔鎮田新路682號1樓(新埔水利大樓)
OKmart	OK敏實科大門市	新竹縣芎林鄉大華路一號仁愛樓一樓
OKmart	OK台元第一門市	新竹縣竹北市台元街34號1樓
OKmart	OK台元第二門市	新竹縣竹北市台元一街3號1樓
OKmart	OK竹北福興店	新竹縣竹北市福興東路２段17、19號1樓
OKmart	OK竹北嘉興店	新竹縣竹北市嘉興路333、３３５號1樓
OKmart	OK竹北光明店	新竹縣竹北市光明三路59號
OKmart	OK竹北長青店	新竹縣竹北市中正西路1999號1樓
OKmart	OK竹北縣福店	新竹縣竹北市光明九路76、76-1號1樓
OKmart	OK竹北東興店	新竹縣竹北市東興路１段941號1樓
OKmart	OK竹北台鐵門市	新竹縣竹北市和平街59號2樓
OKmart	OK竹北豐田店	新竹縣竹北市中正西路1128號1樓
OKmart	OK新竹地院門市	新竹縣竹北市興隆路２段265號1F
OKmart	OK竹北自強門市	新竹縣竹北市自強南路8號3樓C1
OKmart	OK湖口中正店	新竹縣湖口鄉中正路１段104號
OKmart	OK湖口達生店	新竹縣湖口鄉達生路90、92號1樓
OKmart	OK湖口德興店	新竹縣湖口鄉八德路２段76號1樓
OKmart	OK湖口永安店	新竹縣湖口鄉永安街68號
OKmart	OK湖口站前店	新竹縣湖口鄉中山路２段154、156、158號
OKmart	OK湖口八德店	新竹縣湖口鄉八德路１段761號1樓
OKmart	OK湖口千禧店	新竹縣湖口鄉千禧路2巷2號
OKmart	OK湖口台鐵門市	新竹縣湖口鄉中山路２段121號(台鐵湖口跨站3樓)
OKmart	OK旭德門市	新竹縣湖口鄉光復北路8號7樓
OKmart	OK矽格湖口門市	新竹縣湖口鄉湖口工業區四維路1號(員工餐廳旁)
OKmart	OK新竹空軍門市	新竹市北區中正路699號
OKmart	OK新竹湳雅店	新竹市北區光華二街133巷1號
OKmart	OK新竹成功店	新竹市北區中正路479、481號
OKmart	OK新竹國華店	新竹市北區國華街58號1樓及夾層
OKmart	OK新竹東興店	新竹市北區東大路３段502、504號1樓
OKmart	OK新竹軍醫門市	新竹市北區武陵路3號1樓
OKmart	OK基隆樂利店	基隆市安樂區樂利三街68號
OKmart	OK基隆武德店	基隆市安樂區基金一路208巷108號左 3 . 4 棟店舖1樓
OKmart	OK基隆新基金店	基隆市安樂區基金一路200號
OKmart	OK基隆樂一店	基隆市安樂區樂一路26號
OKmart	OK基隆武聖店	基隆市安樂區基金三路48號1樓
OKmart	OK基隆崇德店	基隆市安樂區崇德路8之5號
OKmart	OK基隆興寮店	基隆市安樂區基金一路112巷110弄15之10號
OKmart	OK基隆安樂店	基隆市安樂區安樂路２段128號1.2樓
OKmart	OK基隆武隆店	基隆市安樂區武隆街103巷1號
OKmart	OK基隆大武聖店	基隆市安樂區武聖街110,112號1F
OKmart	OK基隆安和店	基隆市安樂區安和二街8-2號
OKmart	OK基隆橘郡店	基隆市安樂區麥金路191-2號
OKmart	OK基隆東新店	基隆市七堵區東新街67、69號
OKmart	OK基隆泰安店	基隆市七堵區泰安路23-12號
OKmart	OK七堵福五店	基隆市七堵區福五街155、157號一樓
OKmart	OK七堵南興店	基隆市七堵區南興路82號
OKmart	OK基隆長安店	基隆市七堵區明德三路45號1樓
OKmart	OK基隆富民店	基隆市七堵區明德一路104號1樓及地下室1樓
OKmart	OK基隆永富店	基隆市七堵區永富路55號1樓
OKmart	OK三爪子坑店	新北市瑞芳區三爪子坑路125號
OKmart	OK瑞芳建基店	新北市瑞芳區建基路１段64號1樓
OKmart	OK瑞芳逢甲店	新北市瑞芳區逢甲路198、200號1樓
OKmart	OK傑魚坑店	新北市瑞芳區傑魚坑路55號
OKmart	OK瑞芳中央店	新北市瑞芳區中央路47號
OKmart	OK瑞芳中正店	新北市瑞芳區東和路1號
OKmart	OK瑞芳明燈店	新北市瑞芳區明燈路３段17號一樓
OKmart	OK永和民享店	新北市永和區民享街4號
