類別	名稱	地址	經度	緯度
麥當勞	新竹經國旗艦專櫃(含現烤法點)	新竹市東區經國路1段522號1樓	120.976727	24.81463336
麥當勞	新竹大潤發	新竹市北區湳雅街91號1樓	120.9700809	24.81825349
麥當勞	竹北文興旗艦專櫃(含現烤法點)	新竹縣竹北市文興路一段350號	121.030778	24.809299
麥當勞	竹北自強南旗艦專櫃(含現烤法點)	新竹縣竹北市自強南路19號	121.0280293	24.8194322
麥當勞	竹北光明	新竹縣竹北市光明六路89號1樓	121.0095704	24.82709955
麥當勞	竹北中華(含現烤法點)	新竹縣竹北市三民路559號1樓	121.0053126	24.83647394
麥當勞	新豐新興(含現烤法點)	新竹縣新豐鄉新興路189之3號1F	120.9952511	24.86918399
麥當勞	關西服務區(含現烤法點)	新竹縣關西鎮上三屯14號(國道三號高速公路關西服務區商場一樓)	121.1924434	24.8011034
麥當勞	台南麻豆(含現烤法點)	台南市麻豆區中山路84號1樓	120.2456188	23.18392302
麥當勞	善化光復旗艦專櫃(含現烤法點)	台南市善化區光復路55號	120.29028	23.12781
麥當勞	台南佳里(含現烤法點)	佳里區延平路259號	120.1782738	23.16053074
麥當勞	台南新市(含現烤法點)	台南市新市區中山路213號	120.2916724	23.0678279
麥當勞	台東農會(含現烤法點)	台東縣台東市新生路191號	121.1449536	22.75508815
麥當勞	台東中華旗艦專櫃(含現烤法點)	台東縣台東市中華路2段201號1樓	121.1385765	22.74439089
麥當勞	花蓮吉安(含現烤法點)	花蓮縣吉安鄉宜昌村中華路2段11之1號1樓	121.5880034	23.97397725
麥當勞	花蓮遠百二	花蓮縣花蓮市和平路581號B1F	121.600139	23.978042
麥當勞	花蓮中正旗艦專櫃(含現烤法點)	花蓮縣花蓮市中正路625號	121.6099804	23.97908841
麥當勞	花蓮中山二旗艦專櫃(含現烤法點)	花蓮縣花蓮市中山路549之6號	121.601558	23.986855
麥當勞	馬公中正旗艦專櫃(含現烤法點)	澎湖縣馬公市光明路30號1樓	119.5652421	23.56647074
麥當勞	楊梅中山北旗艦專櫃(含現烤法點)	桃園市楊梅區中山北路一段218號	121.155166	24.908215
麥當勞	楊梅埔心旗艦專櫃(含現烤法點)	桃園市楊梅區中山北路2段45號	121.1683195	24.90839099
麥當勞	龍潭中豐(含現烤法點)	桃園市龍潭區中豐路412號	121.2117471	24.88102774
麥當勞	桃園龍潭旗艦專櫃(含現烤法點)	桃園市龍潭區北龍路301號	121.2201176	24.86927679
麥當勞	平鎮中豐	桃園市平鎮區中豐路山頂段156之1號1樓	121.2111472	24.90062074
麥當勞	平鎮民族(含現烤法點)	桃園市中壢區民族路雙連一段88號	121.1885617	24.96052423
麥當勞	中壢民族旗艦專櫃(含現烤法點)	桃園市平鎮區民族路2段175號	121.2039705	24.95707435
麥當勞	中壢中正二(含現烤法點)	桃園市中壢區中正路93號1~2樓	121.2233268	24.95463683
麥當勞	中壢中央(含現烤法點)	桃園市中壢區復興路57號	121.2250567	24.95687828
麥當勞	中壢中原(含現烤法點)	桃園市中壢區中北路200號(中原大學)	121.228163	24.952633
麥當勞	中壢崇光	桃園市中壢區元化路357號B1	121.2243878	24.96238323
麥當勞	中壢環中東旗艦專櫃(含現烤法點)	桃園市中壢區環中東路2段176號	121.2366273	24.94927296
麥當勞	中壢家樂福	桃園市中壢區中山東路二段510號1F	121.246175	24.946596
麥當勞	中壢中華旗艦專櫃(含現烤法點)	桃園市中壢區中華路2段358號1樓	121.2366281	24.96456133
麥當勞	大溪員林(含現烤法點)	桃園市大溪區員林路1段268號	121.276701	24.894921
麥當勞	中壢環中東二旗艦專櫃(含現烤法點)	桃園市中壢區環中東路301, 303號	121.2560784	24.96250549
麥當勞	內壢家樂福	桃園市中壢區中華路一段450號1樓	121.253733	24.972042
麥當勞	大園中正	桃園市大園區中正東路162號1樓	121.2022003	25.06189418
麥當勞	屏東潮州(含現烤法點)	屏東縣潮州鎮新生路58號1樓	120.5384716	22.5486644
麥當勞	屏東東港旗艦專櫃(含現烤法點)	屏東縣東港鎮中山路2-39號	120.453082	22.46555678
麥當勞	屏東民生(含現烤法點)	屏東縣屏東市民生路3之10號	120.5098573	22.6605588
麥當勞	屏東復興旗艦專櫃(含現烤法點)	屏東縣屏東市復興路220號	120.488162	22.664049
麥當勞	屏東環球	屏東縣屏東市仁愛路90號5樓	120.4947	22.6783
麥當勞	屏東太平洋	屏東縣屏東市中正路72號	120.489977	22.67473488
麥當勞	屏東家樂福	屏東縣屏東市仁愛路188號2樓	120.4984596	22.68337812
麥當勞	高雄林園(含現烤法點)	高雄市林園區沿海路2段300號	120.3934828	22.50024814
麥當勞	屏東自由(含現烤法點)	屏東市北勢里3鄰自由路498之3號	120.4896871	22.68378788
麥當勞	高雄鳳林	高雄市大寮區鳳林四路238號1樓	120.38394	22.61847
麥當勞	鳳山鳳頂旗艦專櫃(含現烤法點)	高雄市鳳山區鳳頂路50號	120.359016	22.585818
麥當勞	高雄沿海旗艦專櫃(含現烤法點)	高雄市小港區沿海一路57號	120.3502662	22.56930568
麥當勞	鳳山中正(含現烤法點)	高雄市鳳山區中山路179號	120.357301	22.623301
麥當勞	鳳山光遠(含現烤法點)	高雄市鳳山區光遠路262之1號	120.3569605	22.6258728
麥當勞	鳳山建國旗艦專櫃(含現烤法點)	高雄市鳳山區建國路3段2號	120.3564934	22.63665424
麥當勞	高雄鳥松	高雄市鳥松區中正路251號	120.3640157	22.66029237
麥當勞	高雄長庚(含現烤法點)	高雄市鳥松區大埤路123號B1	120.3553392	22.64980954
麥當勞	高雄瑞隆旗艦專櫃(含現烤法點)	高雄市前鎮區瑞隆路432號1樓	120.3301586	22.60526647
麥當勞	高雄新澄清旗艦專櫃(含現烤法點)	高雄市三民區本揚里24鄰澄清路550號	120.34628	22.64378
麥當勞	高雄陽明	高雄市三民區陽明路67號1樓	120.3411852	22.63908783
麥當勞	高雄義大(含現烤法點)	高雄市大樹區學城路1段12號C棟3樓	120.406219	22.729104
麥當勞	仁武鳳仁旗艦專櫃(含現烤法點)	高雄市仁武區鳳仁路95之25號	120.358407	22.676187
麥當勞	高雄一心(含現烤法點)	高雄市前鎮區一心一路374號1樓	120.3163309	22.60900072
麥當勞	高雄建國二	高雄市苓雅區建國一路306號1樓	120.3254547	22.63296227
麥當勞	高雄夢時代	高雄市前鎮區中華五路789號B1	120.3068288	22.59556575
麥當勞	高雄文化旗艦專櫃(含現烤法點)	高雄市苓雅區尚義街1號	120.3154307	22.62814226
麥當勞	高雄九如二	高雄市三民區九如一路780號	120.3206896	22.64005829
麥當勞	高雄三越	高雄市前鎮區三多三路213號B2	120.3066475	22.61444976
麥當勞	高雄大遠百	高雄市苓雅區三多四路21號B1	120.3037218	22.61337063
麥當勞	高雄建工(含現烤法點)	高雄市三民區灣中里25鄰建工路732號	120.3195818	22.64865086
麥當勞	鼎山家樂福-DKR	高雄市三民區大順二路849號1樓	120.31902	22.65342
麥當勞	高雄五福(含現烤法點)	高雄市新興區五福二路258號	120.3021562	22.623723
麥當勞	高雄十全(含現烤法點)	高雄市三民區十全一路197號	120.3081495	22.64493532
麥當勞	高雄天祥(含現烤法點)	高雄市三民區天祥一路150號	120.3187741	22.66783991
麥當勞	高雄明誠旗艦專櫃(含現烤法點)	高雄市三民區明誠二路50號	120.3138013	22.66008142
麥當勞	高雄建國三(含現烤法點)	高雄市三民區建國三路15-1號	120.30176	22.63766
