類別	名稱	地址	經度	緯度
屈臣氏	雙連	台北市中山區民生西路54號	121.521145	25.057627
屈臣氏	復北	台北市中山區復興北路60號	121.543869	25.05022
屈臣氏	龍江	台北市中山區龍江路283號	121.540837	25.060338
屈臣氏	實踐	台北市中山區大直街43號	121.546467	25.082668
屈臣氏	長春	台北市中山區長春路184號	121.534723	25.054732
屈臣氏	伊通	台北市中山區南京東路二段178號	121.535011	25.05182
屈臣氏	民捷	台北市中山區民權西路64號	121.52008	25.062632
屈臣氏	林森	台北市中山區林森北路380號	121.525387	25.058361
屈臣氏	新南京	台北市中山區南京東路二段50號	121.52962	25.051855
屈臣氏	南京東	台北市中山區南京東路三段125號	121.540039	25.052209
屈臣氏	林森北	台北市中山區林森北路131號	121.525232	25.051017
屈臣氏	長安東	台北市中山區長安東路二段77號	121.534314	25.04855
屈臣氏	大食代	台北市中山區樂群三路218號	121.558094	25.082488
屈臣氏	錦州	台北市中山區錦州街448號	121.543314	25.060026
屈臣氏	龍江二	台北市中山區龍江路356巷16號	121.540222	25.065873
屈臣氏	南京西	台北市中山區南京西路3-2號	121.521512	25.052599
屈臣氏	南陽	台北市中正區南陽街15號	121.516148	25.044674
屈臣氏	新生	台北市中正區新生南路一段104號	121.532554	25.039813
屈臣氏	羅二	台北市中正區羅斯福路四段58號	121.53392	25.014839
屈臣氏	寧波	台北市中正區寧波西街46號	121.517923	25.030828
屈臣氏	城中	台北市中正區重慶南路一段56號	121.513089	25.044229
屈臣氏	館前	台北市中正區館前路18號	121.514881	25.045403
屈臣氏	新古亭	台北市中正區南昌路二段70號	121.521152	25.026656
屈臣氏	微風站	台北市中正區北平西路3號	121.517081	25.047924
屈臣氏	忠五	台北市信義區忠孝東路五段494號	121.578282	25.040789
屈臣氏	吳興	台北市信義區吳興街225號	121.563095	25.027804
屈臣氏	松二	台北市信義區松山路564號	121.578158	25.037309
屈臣氏	光南	台北市信義區光復南路445-1號	121.55771	25.035396
屈臣氏	福德	台北市信義區福德街191號	121.584206	25.038262
屈臣氏	五分埔	台北市信義區松山路111號	121.578004	25.047693
屈臣氏	松壽	台北市信義區松壽路12號	121.566075	25.035666
屈臣氏	和平三	台北市信義區和平東路三段433號	121.55832	25.019159
屈臣氏	永吉	台北市信義區忠孝東路五段165巷1號	121.568816	25.041475
屈臣氏	內湖	台北市內湖區成功路四段46號	121.592015	25.08216
屈臣氏	東湖	台北市內湖區東湖路31號	121.613458	25.06892
屈臣氏	德明	台北市內湖區內湖路一段279號	121.565829	25.082483
屈臣氏	港墘	台北市內湖區內湖路一段737巷37號	121.578872	25.079864
屈臣氏	康樂	台北市內湖區康樂街116-4號	121.619031	25.070853
屈臣氏	三總	台北市內湖區成功路二段325號B1	121.591046	25.071282
屈臣氏	石牌	台北市北投區石牌路二段76號	121.516282	25.116626
屈臣氏	北投	台北市北投區光明路223號	121.504176	25.136504
屈臣氏	磺港	台北市北投區磺港路8號	121.502095	25.133249
屈臣氏	知行	台北市北投區知行路222號	121.46718	25.120465
屈臣氏	北投二	台北市北投區中和街319號	121.499845	25.140778
屈臣氏	自強	台北市北投區自強街88號	121.514871	25.110617
屈臣氏	中坡	台北市南港區忠孝東路五段982號	121.582515	25.044545
屈臣氏	昆陽	台北市南港區忠孝東路六段440號	121.593771	25.050165
屈臣氏	士林	台北市士林區中正路285號	121.524142	25.094771
屈臣氏	文林	台北市士林區文林路130號	121.526568	25.088533
屈臣氏	天東	台北市士林區天母東路32號	121.532403	25.117972
屈臣氏	延平	台北市士林區延平北路五段268號	121.509883	25.085106
屈臣氏	延二	台北市士林區延平北路六段2號	121.509304	25.086983
屈臣氏	士捷	台北市士林區中正路243號	121.525805	25.095122
屈臣氏	德行	台北市士林區德行東路224號	121.532631	25.109118
屈臣氏	士東	台北市士林區士東路134號	121.530503	25.112184
屈臣氏	天北	台北市士林區天母北路6號	121.526169	25.119084
屈臣氏	德行西	台北市士林區德行西路78號	121.521935	25.104531
屈臣氏	劍潭	台北市士林區大東路11之7號	121.525286	25.086746
屈臣氏	劍潭2	台北市士林區劍潭路15號	121.522878	25.08416
屈臣氏	德行東	台北市士林區德行東路110號	121.528709	25.107728
屈臣氏	酒泉	台北市大同區酒泉街70號	121.51526	25.071924
屈臣氏	京站	台北市大同區市民大道一段209號1樓	121.518569	25.048786
屈臣氏	南西二	台北市大同區南京西路42號	121.519418	25.052704
屈臣氏	寧夏	台北市大同區寧夏路9號	121.514984	25.05454
屈臣氏	延三	台北市大同區延平北路三段33號	121.51123	25.064772
屈臣氏	民生西	台北市大同區民生西路231號	121.515756	25.057175
屈臣氏	南山	台北市大安區通化街37號	121.55438	25.030981
屈臣氏	統領	台北市大安區忠孝東路四段209號	121.552291	25.041666
屈臣氏	崇光	台北市大安區忠孝東路四段15號	121.544403	25.04194
屈臣氏	師大	台北市大安區師大路43號	121.528638	25.024542
屈臣氏	科技	台北市大安區復興南路二段205號	121.543711	25.026198
屈臣氏	和平	台北市大安區和平東路二段55號	121.538519	25.025798
