類別	名稱	地址
星巴克	桃園縣府門市	桃園市桃園區縣府路116號1F
星巴克	桃興門市	桃園市桃園區大興西路二段76巷6號 (位於桃園醫mall醫療中心)
星巴克	南崁特力門市	桃園市蘆竹區中正路1號
星巴克	南崁門市	桃園市蘆竹區南山路一段2-5號
星巴克	八德介壽門市	桃園市八德區介壽路一段728號1樓
星巴克	桃園台茂門市	桃園市蘆竹區南崁路一段112號
星巴克	桃園國際門市	桃園市桃園區國際路二段468號
星巴克	八德桃大門市	桃園市八德區金和路35號
星巴克	桃園中山門市	桃園市桃園區中山路879號
星巴克	桃愛門市	桃園市桃園區中山路939號 (位於愛買購物中心內)
星巴克	蘆竹大竹門市	桃園市蘆竹區大竹路430-1號
星巴克	礁溪門市	宜蘭縣礁溪鄉礁溪路5段118號
星巴克	中壢休息站門市	桃園市中壢區內定二街998之3號 (中山高速公路中壢休息站)
星巴克	內壢環中東門市	桃園市中壢區環中東路168號
星巴克	內壢門市	桃園市中壢區中華路一段450號1樓
星巴克	大溪門市	桃園市大溪區慈湖路49及51號
星巴克	內壢中華門市	桃園市中壢區中華路一段669號
星巴克	宜蘭頭城門市	宜蘭縣頭城鎮青雲路3段396號
星巴克	一航廈3F門市	桃園市大園區埔心村航站南路15號3樓 (北) (管制區外)
星巴克	中原大學門市	桃園市中壢區中北路200號
星巴克	二航管制4F門市	桃園市大園區航站南路9號4樓 (桃園機場第二航廈管制C區4樓)
星巴克	二航廈5F門市	桃園市大園區航站南路9號5樓
星巴克	新二航廈B2門市	桃園市大園區航站南路9號B2
星巴克	二航廈D3門市	桃園市大園區航站南路9號3F (管制區內，鄰近D區登機門處)
星巴克	二航廈4F門市	桃園市大園區航站南路9號4樓 (桃園機場第二航廈)
星巴克	中壢大江門市	桃園市中壢區中園路二段509號1樓
星巴克	中壢大潤發門市	桃園市中壢區中北路二段468號1樓
星巴克	華泰三期門市	桃園市中壢區春德路159號
星巴克	中壢元化門市	桃園市中壢區元化路305號1F
星巴克	中壢海華門市	桃園市中壢區九和二街13號1樓
